nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair,Distance
74,022.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_022.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_022.tif,773,501,13,768,502,15,1,5.47722557505166
74,022.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_022.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_022.tif,890,514,14,895,513,16,2,5.47722557505166
75,022.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_022.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_022.tif,231,635,12,231,629,11,1,6.08276253029822
75,022.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_022.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_022.tif,254,566,16,250,569,18,2,5.3851648071345
76,022.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_022.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_022.tif,512,907,16,509,908,16,1,3.16227766016838
76,022.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_022.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_022.tif,478,841,14,477,845,12,2,4.58257569495584
81,024.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_024.tif,960,202,15,964,203,13,1,4.58257569495584
81,024.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_024.tif,933,281,14,933,288,14,2,7
82,024.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_024.tif,492,364,20,491,367,22,1,3.74165738677394
82,024.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_024.tif,488,384,21,488,390,22,2,6.08276253029822
83,024.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_024.tif,772,451,9,772,446,11,1,5.3851648071345
83,024.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_024.tif,773,427,18,768,428,20,2,5.47722557505166
85,024.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_024.tif,709,701,12,703,702,12,1,6.08276253029822
85,024.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_024.tif,743,665,14,748,665,12,2,5.3851648071345
86,024.NM,6,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_024.tif,319,848,11,318,851,11,1,3.16227766016838
86,024.NM,6,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_024.tif,278,759,11,279,756,11,2,3.16227766016838
87,024.NM,7,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_024.tif,664,869,19,663,864,17,1,5.47722557505166
87,024.NM,7,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_024.tif,674,828,14,673,828,17,2,3.16227766016838
88,024.NM,8,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_024.tif,85,865,12,83,863,14,1,3.46410161513775
88,024.NM,8,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_024.tif,169,870,17,164,870,19,2,5.3851648071345
91,026.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_026.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_026.tif,743,578,10,739,580,8,1,4.89897948556636
