nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair,Distance
69,022.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_022.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_022.tif,201,733,22,196,732,20,2,5.47722557505166
70,023.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_023.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_023.tif,382,223,27,382,217,27,1,6
70,023.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_023.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_023.tif,324,213,26,326,207,27,2,6.40312423743285
72,024.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_024.tif,442,175,26,442,180,24,1,5.3851648071345
72,024.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_024.tif,471,154,18,471,155,21,2,3.16227766016838
73,024.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_024.tif,742,329,24,744,323,25,1,6.40312423743285
73,024.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_024.tif,772,346,24,769,342,22,2,5.3851648071345
74,024.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_024.tif,351,640,24,347,638,26,1,4.89897948556636
74,024.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_024.tif,328,638,23,324,641,25,2,5.3851648071345
75,025.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_025.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_025.tif,174,405,24,174,411,23,1,6.08276253029822
