nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair
86,028.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_028.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_028.tif,472,736,22,474,737,23,1
86,028.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_028.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_028.tif,465,733,31,460,732,29,2
87,029.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_029.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_029.tif,182,471,28,181,476,26,1
87,029.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_029.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_029.tif,286,403,23,281,402,21,2
88,029.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_029.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_029.tif,759,491,27,764,487,27,1
88,029.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_029.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_029.tif,690,429,22,690,424,20,2
89,029.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_029.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_029.tif,330,714,25,330,719,27,1
89,029.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_029.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_029.tif,358,713,21,361,717,19,2
90,030.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_030.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_030.tif,681,263,24,680,261,26,1
90,030.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_030.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_030.tif,724,235,28,728,237,26,2
96,031.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_031.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_031.tif,358,598,25,355,604,25,1
96,031.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_031.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_031.tif,426,553,21,425,558,19,2
108,035.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_035.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_035.tif,267,478,23,266,483,25,1
108,035.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_035.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_035.tif,248,543,21,248,542,24,2
110,036.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_036.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_036.tif,666,319,26,665,325,26,1
110,036.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_036.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_036.tif,680,328,20,676,325,18,2
112,036.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_036.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_036.tif,315,751,21,315,752,24,1
112,036.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_036.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_036.tif,279,800,29,279,793,29,2
115,037.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_037.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_037.tif,450,797,27,447,800,25,1
115,037.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_037.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_037.tif,445,818,29,440,817,31,2
123,039.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_039.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_039.tif,138,484,22,141,480,24,1
123,039.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_039.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_039.tif,99,527,31,98,532,29,2
125,040.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_040.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_040.tif,243,293,28,240,296,26,1
125,040.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_040.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_040.tif,313,291,25,310,295,23,2
126,040.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_040.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_040.tif,802,489,23,800,489,21,1
126,040.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_040.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_040.tif,793,459,27,798,459,25,2
128,041.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_041.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_041.tif,118,437,26,114,434,24,1
128,041.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_041.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_041.tif,158,558,28,158,559,25,2
131,042.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_042.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_042.tif,464,821,23,469,823,22,1
131,042.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_042.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_042.tif,408,702,21,408,701,24,2
135,044.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_044.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_044.tif,299,498,22,301,497,24,1
135,044.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_044.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_044.tif,274,413,27,270,416,28,2
137,045.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_045.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_045.tif,228,535,23,233,539,24,1
137,045.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_045.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_045.tif,209,529,27,214,533,28,2
143,046.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_046.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_046.tif,616,896,19,618,899,21,1
143,046.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_046.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_046.tif,647,902,20,641,904,21,2
145,047.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_047.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_047.tif,211,621,30,214,616,29,1
145,047.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_047.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_047.tif,161,546,29,160,551,27,2
