nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair,Distance
23,008.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_008.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_008.tif,168,273,7,173,273,9,2,5.3851648071345
31,011.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_011.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_011.tif,161,314,11,160,308,12,1,6.16441400296898
31,011.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_011.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_011.tif,189,338,14,186,332,14,2,6.70820393249937
33,011.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_011.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_011.tif,229,741,7,223,738,7,1,6.70820393249937
33,011.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_011.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_011.tif,209,764,7,209,759,5,2,5.3851648071345
35,012.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_012.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_012.tif,409,124,9,407,118,10,1,6.40312423743285
35,012.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_012.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_012.tif,389,112,17,386,116,15,2,5.3851648071345
36,012.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_012.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_012.tif,62,217,14,61,222,12,1,5.47722557505166
36,012.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_012.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_012.tif,46,138,13,46,145,13,2,7
37,012.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_012.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_012.tif,752,330,9,749,325,10,1,5.91607978309962
