nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair
102,034.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_034.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_034.tif,704,704,16,710,707,16,1
102,034.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_034.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_034.tif,716,659,23,716,659,20,2
104,035.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_035.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_035.tif,263,452,17,262,454,19,1
104,035.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_035.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_035.tif,216,437,22,210,438,23,2
105,035.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_035.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_035.tif,138,624,23,136,628,21,1
105,035.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_035.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_035.tif,137,675,23,137,675,20,2
114,037.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_037.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_037.tif,450,738,13,450,737,14,1
114,037.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_037.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_037.tif,425,820,19,428,816,17,2
115,038.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_038.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_038.tif,521,459,18,523,462,19,1
115,038.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_038.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_038.tif,558,590,14,555,594,16,2
